STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,JURISDICTION,Jurisdiction,INDUSTRY,Industry,CARTEL_NAME,Cartel name,DD_DIM,Drilldown,DD_ID,DD ID,UNIT_MEASURE,Unit of measure,SANCTION_TYPE,Sanction type,BID_RIGGING,Bid rigging,OBS_VALUE,Observation value,OBS_STATUS,Observation status,CARTEL_CONNOR,Cartel connor,FIRM_NUMBER,Number of firms,PER_NUMBER,Number of persons,CASE_NUMBER,Case number,CASE_LINK,Case link,AUTHORITY,Authority,START_DATE,Start date,END_DATE,End date,CARTEL_DURATION,Cartel duration,DISCOVERY_DATE,Discorevery date,DECISION_DATE,Decision date,SUBSIDIARY_NAME,Subsidiary name,PARENT_NAME,Parent name,PARENT_COUNTRY,Parent country,CURRENCY,Currency original,AMOUNT_ORIGINAL,Amount original,EXCHANGE_RATE,Exchange rate
DATAFLOW,OECD.DAF.COMP:DSD_CARTEL_QDD@DF_QDD_CARTEL(1.0),The OECD International Cartels Database (microdata),I,EU,European Union,541,"Professional, Scientific, and Technical Services",584,"Laboratory testing, clinical",DD,Drilldown,3271,,USD,US dollar,FN,Fine,PU,Public,,,L,Missing value; data exist but were not collected,TRUE,,1,,Unspecified,,EC: CASE n. COMP/39510 - Ordre National des Pharmaciens en France (ONP),,Unspecified,,European Commission,,37622,,40513,,7.9,,2008,,2010,,Ordre Nationale des Pharmaciens,,Ordre Nationale des Pharmaciens,,FRA,France,EUR,Euro,6650000,,Unspecified,
DATAFLOW,OECD.DAF.COMP:DSD_CARTEL_QDD@DF_QDD_CARTEL(1.0),The OECD International Cartels Database (microdata),I,PAK,Pakistan,311,Food Manufacturing,632,Cooking Oil and Ghee,DD,Drilldown,2999,,USD,US dollar,FN,Fine,NO,No,,,L,Missing value; data exist but were not collected,TRUE,,1,,Unspecified,,PA (CPP): 1(15)/PVMA-ISB/C&TA/CCP/2011,,Unspecified,,Competition Commission of Pakistan,,39804,,40575,,2.1,,2011,,2011,,Pakistan Vanaspati Manufacturers' Assn.,,Unspecified,,PAK,Pakistan,PKR,Pakistan rupee,547000,,Unspecified,
DATAFLOW,OECD.DAF.COMP:DSD_CARTEL_QDD@DF_QDD_CARTEL(1.0),The OECD International Cartels Database (microdata),I,_Z,Not applicable,522,Credit Intermediation and Related Activities,1014,Bank credit-card interchange fees MC 2,DD,Drilldown,540,,USD,US dollar,_X,Unspecified,NO,No,,,L,Missing value; data exist but were not collected,TRUE,,1,,Unspecified,,Unspecified,,Unspecified,,Unspecified,,Unspecified,,Unspecified,,Unspecified,,1985,,Unspecified,,medicair centro srl,,Medicair Group,,USA,United States,_X,Unspecified,Unspecified,,Unspecified,
DATAFLOW,OECD.DAF.COMP:DSD_CARTEL_QDD@DF_QDD_CARTEL(1.0),The OECD International Cartels Database (microdata),I,AUS,Australia,454,Nonstore Retailers,1600,SNBB,DD,Drilldown,5483,,USD,US dollar,FN,Fine,NO,No,1266890,,,,FALSE,,1,,1,,[2022] FCA 1424,,https://www.australiancompetitionlaw.info/cases/cdpp-v-alkaloids-of-australia,,Federal Court of Australia,,39995,,43453,,9.605555556,,2019,,2022,,ALKALOIDS OF AUSTRALIA,,ALKALOIDS CORPORATION,,IND,India,AUD,Australian dollar,1887500,,0.6712,
DATAFLOW,OECD.DAF.COMP:DSD_CARTEL_QDD@DF_QDD_CARTEL(1.0),The OECD International Cartels Database (microdata),I,ESP,Spain,339,Miscellaneous Manufacturing,686,Motorcycles,DD,Drilldown,2889,,USD,US dollar,FN,Fine,NO,No,,,L,Missing value; data exist but were not collected,TRUE,,2,,Unspecified,,CNMC: CASE n. S/0280/10 & VS/0280/10 ; ,,Unspecified,,The Spanish National Commission of Markets and Competition,,39814,,40178,,1,,2010,,2012,,Montesa Honda SA,,Honda Motors,,JPN,Japan,EUR,Euro,2700000,,Unspecified,
DATAFLOW,OECD.DAF.COMP:DSD_CARTEL_QDD@DF_QDD_CARTEL(1.0),The OECD International Cartels Database (microdata),I,ESP,Spain,326,Plastics and Rubber Products Manufacturing,965,"Foam, elastomeric",DD,Drilldown,354,,USD,US dollar,FN,Fine,NO,No,,,L,Missing value; data exist but were not collected,TRUE,,2,,Unspecified,,CNC: S/0402/12 Espuma Elastomérica,,Unspecified,,Unspecified,,36892,,40909,,11,,2012,,2013,,Armacell Iberia,,FOAM INVESTMENTS II SARL,,USA,United States,EUR,Euro,8576000,,Unspecified,
DATAFLOW,OECD.DAF.COMP:DSD_CARTEL_QDD@DF_QDD_CARTEL(1.0),The OECD International Cartels Database (microdata),I,ESP,Spain,482,Rail Transportation,932,Rail freight,DD,Drilldown,256,,USD,US dollar,FN,Fine,PR,Private,,,L,Missing value; data exist but were not collected,TRUE,,2,,Unspecified,,CNMC: CASE n. S/DC/0511/14,,Unspecified,,Unspecified,,39753,,41933,,6,,2014,,2017,,"Renfe Mercancías, S.A.",,Renfe Operadora,,USA,United States,EUR,Euro,78760000,,Unspecified,
DATAFLOW,OECD.DAF.COMP:DSD_CARTEL_QDD@DF_QDD_CARTEL(1.0),The OECD International Cartels Database (microdata),I,EU,European Union,221,Utilities,688,Electricity exchanges in NO and SE,DD,Drilldown,2887,,USD,US dollar,FN,Fine,NO,No,,,L,Missing value; data exist but were not collected,TRUE,,2,,Unspecified,,EC: CASE AT.39952 — Power Exchanges,,Unspecified,,European Commission,,40695,,40940,,0.7,,2012,,2014,,Epex Spot (JV),,Powernext (FR) + EEX (DE) (EPEX),,_Z,Not applicable,EUR,Euro,5048000,,Unspecified,
DATAFLOW,OECD.DAF.COMP:DSD_CARTEL_QDD@DF_QDD_CARTEL(1.0),The OECD International Cartels Database (microdata),I,EU,European Union,325,Chemical Manufacturing,660,"Fentanyl generic, pay-for-delay in NL",DD,Drilldown,2918,,USD,US dollar,FN,Fine,NO,No,,,L,Missing value; data exist but were not collected,TRUE,,2,,Unspecified,,EC: CASE n. AT.39685 - Fentanyl,,Unspecified,,European Commission,,38544,,39066,,1.4,,2010,,2013,,Sandoz,,Novartis AG,,CHE,Switzerland,EUR,Euro,6950000,,Unspecified,
DATAFLOW,OECD.DAF.COMP:DSD_CARTEL_QDD@DF_QDD_CARTEL(1.0),The OECD International Cartels Database (microdata),I,EU,European Union,424,"Merchant Wholesalers, Nondurable Goods",512,"Distribution, bananas 2, southern EU",DD,Drilldown,3514,,USD,US dollar,FN,Fine,PR,Private,,,L,Missing value; data exist but were not collected,TRUE,,2,,Unspecified,,EC: CASE n. COMP/39482 - Exotic Fruit (Bananas),,Unspecified,,European Commission,,38196,,38450,,0.7,,2009,,2011,,Pcaific Fruit,,Noboa Group,,BEL,Belgium,EUR,Euro,12160000,,Unspecified,
